Dataset,Model,Batch Size,Disparate Impact,Statistical Parity Difference,Average Odds Difference,Equal Opportunity Difference
German Credit,LR,8,0.8172,-0.1552,-0.1479,-0.0694
German Credit,LR,16,0.8268,-0.1419,-0.1224,-0.0774
German Credit,LR,32,0.8311,-0.1377,-0.1195,-0.0715
German Credit,LR,64,0.853,-0.1167,-0.096,-0.0538
German Credit,LR,96,0.8576,-0.1125,-0.0886,-0.0538
German Credit,LR,128,0.8226,-0.1461,-0.1342,-0.0715
German Credit,LR,256,0.7398,-0.2099,-0.1957,-0.1228
German Credit,RF,8,0.8915,-0.0962,-0.0881,-0.0496
German Credit,RF,16,0.8591,-0.1243,-0.1465,0.0075
German Credit,RF,32,0.8187,-0.1607,-0.1795,-0.0437
German Credit,RF,64,0.7936,-0.1804,-0.2008,-0.0576
German Credit,RF,96,0.8449,-0.1362,-0.143,-0.0437
German Credit,RF,128,0.7898,-0.1846,-0.2037,-0.0635
German Credit,RF,256,0.7898,-0.1846,-0.2037,-0.0635
Income Census,LR,8,0.3337,-0.1591,-0.0528,-0.0469
Income Census,LR,16,0.281,-0.2549,-0.1345,-0.1307
Income Census,LR,32,0.3217,-0.184,-0.067,-0.0539
Income Census,LR,64,0.3193,-0.1882,-0.0725,-0.0621
Income Census,LR,96,0.3299,-0.1654,-0.0555,-0.0466
Income Census,LR,128,0.329,-0.1661,-0.0563,-0.0476
Income Census,LR,256,0.3118,-0.2039,-0.0865,-0.0784
Income Census,RF,8,0.3273,-0.185,-0.0699,-0.0489
Income Census,RF,16,0.3215,-0.1958,-0.078,-0.0553
Income Census,RF,32,0.3005,-0.2039,-0.0981,-0.0948
Income Census,RF,64,0.317,-0.1851,-0.0718,-0.0582
Income Census,RF,96,0.3177,-0.1874,-0.0792,-0.0749
Income Census,RF,128,0.3269,-0.1825,-0.0712,-0.0596
Income Census,RF,256,0.3164,-0.1945,-0.079,-0.0625
Recidivism Compass,LR,8,0.7935,-0.1691,-0.1475,-0.0955
Recidivism Compass,LR,16,0.7923,-0.1698,-0.1486,-0.0947
Recidivism Compass,LR,32,0.794,-0.1684,-0.1472,-0.0933
Recidivism Compass,LR,64,0.7935,-0.1697,-0.1483,-0.0963
Recidivism Compass,LR,96,0.7909,-0.1724,-0.1518,-0.0976
Recidivism Compass,LR,128,0.7931,-0.1697,-0.1486,-0.0955
Recidivism Compass,LR,256,0.7931,-0.1697,-0.1486,-0.0955
Recidivism Compass,RF,8,0.7993,-0.1248,-0.0994,-0.0708
Recidivism Compass,RF,16,0.7477,-0.1729,-0.1498,-0.1035
Recidivism Compass,RF,32,0.7606,-0.1601,-0.135,-0.1008
Recidivism Compass,RF,64,0.8476,-0.1097,-0.0809,-0.0596
Recidivism Compass,RF,96,0.81,-0.1417,-0.1189,-0.0836
Recidivism Compass,RF,128,0.8193,-0.1272,-0.1017,-0.0661
Recidivism Compass,RF,256,0.8323,-0.1158,-0.0894,-0.0566
