Dataset,Model,Batch Size,Masking Value,Accuracy,Bal. Acc.,Prec.,Rec.,F1 Score,Disp. Impact,Stat. Parity Diff.,Avg. Odds Diff.,Eq. Opp. Diff.
German Credit,LR,8.0000,-1.0000,0.7800,0.6839,0.7918,0.9282,0.8546,0.8172,-0.1552,-0.1479,-0.0694
German Credit,LR,8.0000,0.0000,0.7700,0.6705,0.7846,0.9234,0.8484,0.7903,-0.1797,-0.1754,-0.0950
German Credit,LR,8.0000,1.0000,0.6967,0.6706,0.8105,0.7368,0.7719,0.0000,-0.7983,-0.7176,-0.9059
German Credit,LR,16.0000,-1.0000,0.7800,0.6963,0.8017,0.9091,0.8520,0.8268,-0.1419,-0.1224,-0.0774
German Credit,LR,16.0000,0.0000,0.7767,0.6939,0.8008,0.9043,0.8494,0.8311,-0.1377,-0.1195,-0.0715
German Credit,LR,16.0000,1.0000,0.7667,0.7116,0.8203,0.8517,0.8357,0.5225,-0.3832,-0.3605,-0.3220
German Credit,LR,32.0000,-1.0000,0.7767,0.6939,0.8008,0.9043,0.8494,0.8311,-0.1377,-0.1195,-0.0715
German Credit,LR,32.0000,0.0000,0.7800,0.6994,0.8043,0.9043,0.8514,0.8354,-0.1335,-0.1122,-0.0715
German Credit,LR,32.0000,1.0000,0.7600,0.7130,0.8246,0.8325,0.8286,0.3799,-0.5003,-0.4844,-0.4246
German Credit,LR,64.0000,-1.0000,0.7733,0.6977,0.8052,0.8900,0.8455,0.8530,-0.1167,-0.0960,-0.0538
German Credit,LR,64.0000,0.0000,0.7767,0.6970,0.8034,0.8995,0.8488,0.8397,-0.1293,-0.1092,-0.0656
German Credit,LR,64.0000,1.0000,0.7833,0.7142,0.8158,0.8900,0.8513,0.7436,-0.2057,-0.1927,-0.1169
German Credit,LR,96.0000,-1.0000,0.7767,0.7032,0.8087,0.8900,0.8474,0.8576,-0.1125,-0.0886,-0.0538
German Credit,LR,96.0000,0.0000,0.7800,0.7025,0.8069,0.8995,0.8507,0.8441,-0.1251,-0.1019,-0.0656
German Credit,LR,96.0000,1.0000,0.7867,0.7166,0.8166,0.8947,0.8539,0.7398,-0.2099,-0.1957,-0.1228
German Credit,LR,128.0000,-1.0000,0.7700,0.6829,0.7941,0.9043,0.8456,0.8226,-0.1461,-0.1342,-0.0715
German Credit,LR,128.0000,0.0000,0.7767,0.6939,0.8008,0.9043,0.8494,0.8311,-0.1377,-0.1195,-0.0715
German Credit,LR,128.0000,1.0000,0.7800,0.7118,0.8150,0.8852,0.8486,0.7235,-0.2219,-0.2055,-0.1425
German Credit,LR,256.0000,-1.0000,0.7867,0.7166,0.8166,0.8947,0.8539,0.7398,-0.2099,-0.1957,-0.1228
German Credit,LR,256.0000,0.0000,0.7867,0.7166,0.8166,0.8947,0.8539,0.7398,-0.2099,-0.1957,-0.1228
German Credit,LR,256.0000,1.0000,0.7867,0.7166,0.8166,0.8947,0.8539,0.7398,-0.2099,-0.1957,-0.1228
German Credit,RF,8.0000,-1.0000,0.7433,0.6173,0.7538,0.9378,0.8358,0.8915,-0.0962,-0.0881,-0.0496
German Credit,RF,8.0000,0.0000,0.7600,0.6416,0.7665,0.9426,0.8455,0.8369,-0.1446,-0.1489,-0.0555
German Credit,RF,8.0000,1.0000,0.7433,0.6328,0.7640,0.9139,0.8322,0.7530,-0.2169,-0.2294,-0.1148
German Credit,RF,16.0000,-1.0000,0.7600,0.6416,0.7665,0.9426,0.8455,0.8591,-0.1243,-0.1465,0.0075
German Credit,RF,16.0000,0.0000,0.7667,0.6557,0.7747,0.9378,0.8485,0.8305,-0.1481,-0.1530,-0.0496
German Credit,RF,16.0000,1.0000,0.7500,0.6375,0.7659,0.9234,0.8373,0.7898,-0.1846,-0.2037,-0.0635
German Credit,RF,32.0000,-1.0000,0.7500,0.6313,0.7617,0.9330,0.8387,0.8187,-0.1607,-0.1795,-0.0437
German Credit,RF,32.0000,0.0000,0.7533,0.6337,0.7626,0.9378,0.8412,0.8816,-0.1040,-0.1085,-0.0181
German Credit,RF,32.0000,1.0000,0.7467,0.6383,0.7671,0.9139,0.8341,0.7129,-0.2533,-0.2669,-0.1463
German Credit,RF,64.0000,-1.0000,0.7467,0.6352,0.7649,0.9187,0.8348,0.7936,-0.1804,-0.2008,-0.0576
German Credit,RF,64.0000,0.0000,0.7467,0.6321,0.7628,0.9234,0.8355,0.8081,-0.1685,-0.1820,-0.0635
German Credit,RF,64.0000,1.0000,0.7433,0.6297,0.7619,0.9187,0.8330,0.8120,-0.1643,-0.1524,-0.1207
German Credit,RF,96.0000,-1.0000,0.7533,0.6368,0.7647,0.9330,0.8405,0.8449,-0.1362,-0.1430,-0.0437
German Credit,RF,96.0000,0.0000,0.7567,0.6361,0.7636,0.9426,0.8437,0.8551,-0.1285,-0.1405,-0.0240
German Credit,RF,96.0000,1.0000,0.7567,0.6423,0.7677,0.9330,0.8423,0.8043,-0.1727,-0.1805,-0.0753
German Credit,RF,128.0000,-1.0000,0.7500,0.6375,0.7659,0.9234,0.8373,0.7898,-0.1846,-0.2037,-0.0635
German Credit,RF,128.0000,0.0000,0.7500,0.6375,0.7659,0.9234,0.8373,0.7898,-0.1846,-0.2037,-0.0635
German Credit,RF,128.0000,1.0000,0.7500,0.6375,0.7659,0.9234,0.8373,0.7898,-0.1846,-0.2037,-0.0635
German Credit,RF,256.0000,-1.0000,0.7500,0.6375,0.7659,0.9234,0.8373,0.7898,-0.1846,-0.2037,-0.0635
German Credit,RF,256.0000,0.0000,0.7500,0.6375,0.7659,0.9234,0.8373,0.7898,-0.1846,-0.2037,-0.0635
German Credit,RF,256.0000,1.0000,0.7500,0.6375,0.7659,0.9234,0.8373,0.7898,-0.1846,-0.2037,-0.0635
Income Census,LR,8.0000,-1.0000,0.8493,0.7578,0.7703,0.5732,0.6573,0.3337,-0.1591,-0.0528,-0.0469
Income Census,LR,8.0000,0.0000,0.8485,0.7824,0.7221,0.6490,0.6836,0.2887,-0.2091,-0.0994,-0.1003
Income Census,LR,8.0000,1.0000,0.8379,0.7355,0.7548,0.5289,0.6220,0.0281,-0.2499,-0.3193,-0.5450
Income Census,LR,16.0000,-1.0000,0.8431,0.8053,0.6748,0.7292,0.7009,0.2810,-0.2549,-0.1345,-0.1307
Income Census,LR,16.0000,0.0000,0.8309,0.8084,0.6377,0.7629,0.6947,0.2098,-0.3197,-0.2161,-0.2337
Income Census,LR,16.0000,1.0000,0.8379,0.7355,0.7548,0.5289,0.6220,0.0281,-0.2499,-0.3193,-0.5450
Income Census,LR,32.0000,-1.0000,0.8492,0.7737,0.7389,0.6214,0.6751,0.3217,-0.1840,-0.0670,-0.0539
Income Census,LR,32.0000,0.0000,0.8478,0.7904,0.7082,0.6744,0.6909,0.2704,-0.2289,-0.1219,-0.1301
Income Census,LR,32.0000,1.0000,0.8379,0.7355,0.7548,0.5289,0.6220,0.0281,-0.2499,-0.3193,-0.5450
Income Census,LR,64.0000,-1.0000,0.8488,0.7758,0.7339,0.6284,0.6771,0.3193,-0.1882,-0.0725,-0.0621
Income Census,LR,64.0000,0.0000,0.8495,0.7781,0.7330,0.6341,0.6800,0.3016,-0.1965,-0.0856,-0.0829
Income Census,LR,64.0000,1.0000,0.8492,0.7638,0.7572,0.5916,0.6642,0.2739,-0.1867,-0.0960,-0.1142
Income Census,LR,96.0000,-1.0000,0.8493,0.7617,0.7620,0.5850,0.6619,0.3299,-0.1654,-0.0555,-0.0466
Income Census,LR,96.0000,0.0000,0.8492,0.7725,0.7409,0.6179,0.6738,0.3145,-0.1849,-0.0720,-0.0639
Income Census,LR,96.0000,1.0000,0.8461,0.7539,0.7610,0.5679,0.6504,0.1670,-0.2141,-0.1823,-0.2769
Income Census,LR,128.0000,-1.0000,0.8493,0.7620,0.7614,0.5859,0.6622,0.3290,-0.1661,-0.0563,-0.0476
Income Census,LR,128.0000,0.0000,0.8489,0.7732,0.7387,0.6205,0.6744,0.3119,-0.1872,-0.0745,-0.0670
Income Census,LR,128.0000,1.0000,0.8461,0.7533,0.7622,0.5662,0.6497,0.1563,-0.2169,-0.1891,-0.2889
Income Census,LR,256.0000,-1.0000,0.8486,0.7852,0.7184,0.6573,0.6865,0.3118,-0.2039,-0.0865,-0.0784
Income Census,LR,256.0000,0.0000,0.8477,0.7904,0.7077,0.6748,0.6909,0.2700,-0.2294,-0.1224,-0.1306
Income Census,LR,256.0000,1.0000,0.8494,0.7624,0.7612,0.5868,0.6627,0.2419,-0.1949,-0.1151,-0.1474
Income Census,RF,8.0000,-1.0000,0.8345,0.7564,0.7010,0.5990,0.6460,0.3273,-0.1850,-0.0699,-0.0489
Income Census,RF,8.0000,0.0000,0.8334,0.7599,0.6918,0.6117,0.6493,0.3160,-0.1956,-0.0817,-0.0638
Income Census,RF,8.0000,1.0000,0.8339,0.7600,0.6939,0.6109,0.6497,0.3288,-0.1901,-0.0735,-0.0522
Income Census,RF,16.0000,-1.0000,0.8332,0.7614,0.6894,0.6166,0.6509,0.3215,-0.1958,-0.0780,-0.0553
Income Census,RF,16.0000,0.0000,0.8370,0.7679,0.6958,0.6284,0.6604,0.3165,-0.1995,-0.0815,-0.0621
Income Census,RF,16.0000,1.0000,0.8364,0.7629,0.7003,0.6144,0.6545,0.3161,-0.1940,-0.0784,-0.0598
Income Census,RF,32.0000,-1.0000,0.8362,0.7656,0.6957,0.6231,0.6574,0.3005,-0.2039,-0.0981,-0.0948
Income Census,RF,32.0000,0.0000,0.8362,0.7655,0.6959,0.6227,0.6573,0.3213,-0.1959,-0.0757,-0.0519
Income Census,RF,32.0000,1.0000,0.8363,0.7623,0.7006,0.6131,0.6539,0.3184,-0.1927,-0.0785,-0.0618
Income Census,RF,64.0000,-1.0000,0.8425,0.7644,0.7240,0.6069,0.6603,0.3170,-0.1851,-0.0718,-0.0582
Income Census,RF,64.0000,0.0000,0.8426,0.7660,0.7220,0.6113,0.6621,0.3396,-0.1790,-0.0625,-0.0457
Income Census,RF,64.0000,1.0000,0.8362,0.7618,0.7008,0.6117,0.6533,0.3109,-0.1949,-0.0866,-0.0779
Income Census,RF,96.0000,-1.0000,0.8437,0.7680,0.7237,0.6152,0.6651,0.3177,-0.1874,-0.0792,-0.0749
Income Census,RF,96.0000,0.0000,0.8410,0.7679,0.7119,0.6205,0.6631,0.3397,-0.1843,-0.0668,-0.0494
Income Census,RF,96.0000,1.0000,0.8357,0.7612,0.6994,0.6109,0.6522,0.3163,-0.1930,-0.0780,-0.0592
Income Census,RF,128.0000,-1.0000,0.8406,0.7626,0.7185,0.6052,0.6570,0.3269,-0.1825,-0.0712,-0.0596
Income Census,RF,128.0000,0.0000,0.8411,0.7639,0.7184,0.6082,0.6588,0.3411,-0.1785,-0.0627,-0.0456
Income Census,RF,128.0000,1.0000,0.8362,0.7618,0.7008,0.6117,0.6533,0.3109,-0.1949,-0.0866,-0.0779
Income Census,RF,256.0000,-1.0000,0.8384,0.7659,0.7042,0.6196,0.6592,0.3164,-0.1945,-0.0790,-0.0625
Income Census,RF,256.0000,0.0000,0.8356,0.7665,0.6920,0.6271,0.6579,0.3180,-0.1997,-0.0871,-0.0747
Income Census,RF,256.0000,1.0000,0.8380,0.7646,0.7042,0.6166,0.6575,0.3224,-0.1913,-0.0744,-0.0553
Recidivism Compass,LR,8.0000,-1.0000,0.6762,0.6544,0.6651,0.8442,0.7441,0.7935,-0.1691,-0.1475,-0.0955
Recidivism Compass,LR,8.0000,0.0000,0.6836,0.6657,0.6788,0.8210,0.7432,0.7036,-0.2484,-0.2287,-0.1577
Recidivism Compass,LR,8.0000,1.0000,0.6582,0.6619,0.7217,0.6297,0.6726,0.4990,-0.3636,-0.3361,-0.3180
Recidivism Compass,LR,16.0000,-1.0000,0.6762,0.6546,0.6656,0.8426,0.7437,0.7923,-0.1698,-0.1486,-0.0947
Recidivism Compass,LR,16.0000,0.0000,0.6831,0.6656,0.6793,0.8177,0.7421,0.7116,-0.2389,-0.2189,-0.1491
Recidivism Compass,LR,16.0000,1.0000,0.6845,0.6717,0.6918,0.7829,0.7346,0.8017,-0.1439,-0.1178,-0.0690
Recidivism Compass,LR,32.0000,-1.0000,0.6762,0.6545,0.6654,0.8434,0.7439,0.7940,-0.1684,-0.1472,-0.0933
