Run Type,Dataset,Model,Disp. Impact,Stat. Parity Diff.,Avg. Odds Diff.,Eq. Opp. Diff.
Adaptive Masking,German Credit,Linear SVC,0.8354,-0.1335,-0.1166,-0.0656
Baseline,German Credit,Linear SVC,0.8384,-0.1274,-0.0575,-0.1273
Adaptive Masking,German Credit,Logistic Regression,0.8354,-0.1335,-0.1122,-0.0715
Baseline,German Credit,Logistic Regression,0.8474,-0.1191,-0.0518,-0.1160
Adaptive Masking,German Credit,MLP Classifier,0.8211,-0.1406,-0.1379,-0.0501
Baseline,German Credit,MLP Classifier,0.7906,-0.1616,-0.0859,-0.1748
Adaptive Masking,German Credit,Random Forest,0.8614,-0.1194,-0.1180,-0.0379
Baseline,German Credit,Random Forest,0.8049,-0.1644,-0.1230,-0.1444
Adaptive Masking,German Credit,SVC,0.8311,-0.1377,-0.1372,-0.0341
Baseline,German Credit,SVC,0.7949,-0.1575,-0.0980,-0.1283
Adaptive Masking,German Credit,XGBC Classifier,0.8574,-0.1181,-0.1202,-0.0282
Baseline,German Credit,XGBC Classifier,0.8935,-0.0848,-0.0425,-0.0695
Adaptive Masking,Income Census,Linear SVC,0.3255,-0.1908,-0.0770,-0.0714
Baseline,Income Census,Linear SVC,0.3418,-0.1691,-0.0783,-0.0881
Adaptive Masking,Income Census,Logistic Regression,0.3198,-0.1885,-0.0717,-0.0601
Baseline,Income Census,Logistic Regression,0.3316,-0.1777,-0.0885,-0.1023
Adaptive Masking,Income Census,MLP Classifier,0.1642,-0.1452,-0.1337,-0.1829
Baseline,Income Census,MLP Classifier,0.2891,-0.2150,-0.1482,-0.1888
Adaptive Masking,Income Census,Random Forest,0.3166,-0.1943,-0.0808,-0.0659
Baseline,Income Census,Random Forest,0.3234,-0.1945,-0.0955,-0.0958
Adaptive Masking,Income Census,SVC,0.3393,-0.1398,-0.0346,-0.0217
Baseline,Income Census,SVC,0.3228,-0.1690,-0.0825,-0.0962
Adaptive Masking,Income Census,XGBC Classifier,0.3465,-0.1756,-0.0574,-0.0582
Baseline,Income Census,XGBC Classifier,0.3283,-0.1803,-0.0829,-0.1000
Adaptive Masking,Recidivism Compass,Linear SVC,0.8083,-0.1647,-0.1489,-0.0888
Baseline,Recidivism Compass,Linear SVC,0.7800,-0.1602,-0.1400,-0.0602
Adaptive Masking,Recidivism Compass,Logistic Regression,0.7935,-0.1691,-0.1474,-0.0968
Baseline,Recidivism Compass,Logistic Regression,0.7715,-0.1651,-0.1426,-0.0638
Adaptive Masking,Recidivism Compass,MLP Classifier,0.8560,-0.0919,-0.0645,-0.0620
Baseline,Recidivism Compass,MLP Classifier,0.7588,-0.1537,-0.1368,-0.0836
Adaptive Masking,Recidivism Compass,Random Forest,0.8634,-0.0903,-0.0643,-0.0378
Baseline,Recidivism Compass,Random Forest,0.7563,-0.1624,-0.1423,-0.0837
Adaptive Masking,Recidivism Compass,SVC,0.8077,-0.1596,-0.1408,-0.0788
Baseline,Recidivism Compass,SVC,0.7713,-0.1678,-0.1444,-0.0715
Adaptive Masking,Recidivism Compass,XGBC Classifier,0.7870,-0.1574,-0.1283,-0.0960
Baseline,Recidivism Compass,XGBC Classifier,0.7851,-0.1541,-0.1239,-0.0691
