Run Type,Dataset,Model,Accuracy,Bal. Acc.,Prec.,Rec.,F1 Score
Ad. Mask.,German Credit,Linear SVC,0.7733,0.6915,0.8000,0.8995,0.8468
Baseline,German Credit,Linear SVC,0.7567,0.6802,0.7991,0.8714,0.8337
Ad. Mask.,German Credit,Logistic Regression,0.7800,0.6994,0.8043,0.9043,0.8514
Baseline,German Credit,Logistic Regression,0.7500,0.6754,0.7974,0.8619,0.8284
Ad. Mask.,German Credit,MLP Classifier,0.7467,0.6724,0.7930,0.8612,0.8257
Baseline,German Credit,MLP Classifier,0.7533,0.6873,0.8063,0.8524,0.8287
Ad. Mask.,German Credit,Random Forest,0.7600,0.6509,0.7729,0.9282,0.8435
Baseline,German Credit,Random Forest,0.7300,0.6262,0.7654,0.8857,0.8212
Ad. Mask.,German Credit,SVC,0.7700,0.6860,0.7966,0.8995,0.8449
Baseline,German Credit,SVC,0.7433,0.6770,0.8009,0.8429,0.8213
Ad. Mask.,German Credit,XGBC Classifier,0.7467,0.6507,0.7759,0.8947,0.8311
Baseline,German Credit,XGBC Classifier,0.7133,0.6206,0.7650,0.8524,0.8063
Ad. Mask.,Income Census,Linear SVC,0.8488,0.7794,0.7280,0.6394,0.6808
Baseline,Income Census,Linear SVC,0.8467,0.7639,0.7360,0.5990,0.6605
Ad. Mask.,Income Census,Logistic Regression,0.8489,0.7763,0.7335,0.6297,0.6777
Baseline,Income Census,Logistic Regression,0.8465,0.7678,0.7284,0.6110,0.6646
Ad. Mask.,Income Census,MLP Classifier,0.7786,0.6243,0.6214,0.3129,0.4162
Baseline,Income Census,MLP Classifier,0.8296,0.7617,0.6681,0.6266,0.6467
Ad. Mask.,Income Census,Random Forest,0.8370,0.7639,0.7010,0.6166,0.6561
Baseline,Income Census,Random Forest,0.8404,0.7706,0.6984,0.6314,0.6632
Ad. Mask.,Income Census,SVC,0.8473,0.7413,0.7984,0.5276,0.6354
Baseline,Income Census,SVC,0.8474,0.7599,0.7465,0.5857,0.6564
Ad. Mask.,Income Census,XGBC Classifier,0.8676,0.7982,0.7823,0.6582,0.7149
Baseline,Income Census,XGBC Classifier,0.8653,0.7941,0.7711,0.6523,0.7068
Ad. Mask.,Recidivism Compass,Linear SVC,0.6614,0.6343,0.6458,0.8699,0.7413
Baseline,Recidivism Compass,Linear SVC,0.6670,0.6565,0.6738,0.7628,0.7156
Ad. Mask.,Recidivism Compass,Logistic Regression,0.6753,0.6534,0.6645,0.8434,0.7433
Baseline,Recidivism Compass,Logistic Regression,0.6758,0.6662,0.6835,0.7628,0.7210
Ad. Mask.,Recidivism Compass,MLP Classifier,0.6420,0.6349,0.6728,0.6968,0.6846
Baseline,Recidivism Compass,MLP Classifier,0.6240,0.6217,0.6618,0.6451,0.6533
Ad. Mask.,Recidivism Compass,Random Forest,0.6587,0.6490,0.6797,0.7332,0.7055
Baseline,Recidivism Compass,Random Forest,0.6443,0.6399,0.6733,0.6846,0.6789
Ad. Mask.,Recidivism Compass,SVC,0.6730,0.6491,0.6590,0.8567,0.7450
Baseline,Recidivism Compass,SVC,0.6758,0.6653,0.6808,0.7712,0.7232
Ad. Mask.,Recidivism Compass,XGBC Classifier,0.6855,0.6721,0.6911,0.7879,0.7364
Baseline,Recidivism Compass,XGBC Classifier,0.6896,0.6801,0.6942,0.7771,0.7333
